Zona;Sede;Línea de negocio;Año;Mes;Ingresos;Costo_mat_prima;Costo_M.Obra;Utilidad_Bruta;Mg_Bruto;Gastos_operativos;Gastos_personal;Ut_Operacional;Mg_Operacional;Empl_Admon;Empl_Operativo; Ordenes ; Hrs_Ejecutadas ; Capac_Hrs 
Zonas Secundarias;Ibague TASA Taller;Servicio;2024;oct;327228157 ;65381137 ;89834404 ;172012615 ; 0,53 ;65456195 ;24622393 ;81934027 ; 0,25 ;6;14;370;2326;2160
Zonas Secundarias;Ibague TASA Taller;Servicio;2024;nov;341136535 ;71752509 ;98806224 ;170577802 ; 0,50 ;78490549 ;41617265 ;50469988 ; 0,15 ;7;14;356;2283;2160
Zonas Secundarias;Ibague TASA Taller;Servicio;2024;dic;342761830 ;72004542 ;123882251 ;146875037 ; 0,43 ;58829913 ;54261548 ;33783577 ; 0,10 ;7;14;422;2479;2160
Zonas Secundarias;Neiva;Servicio;2021;ene;167814578 ;29575953 ;50396899 ;87841726 ; 0,52 ;41455124 ;28130233 ;18256369 ; 0,11 ;7;13;366;1264;2070
Zonas Secundarias;Neiva;Servicio;2021;feb;204203818 ;36752901 ;45503202 ;121947715 ; 0,60 ;46491198 ;27971203 ;47485314 ; 0,23 ;7;13;393;1458;2070
Zonas Secundarias;Neiva;Servicio;2021;mar;271949082 ;56158522 ;65343684 ;150446876 ; 0,55 ;42661639 ;40492604 ;67292632 ; 0,25 ;8;13;479;1992;1910
Zonas Secundarias;Neiva;Servicio;2021;abr;200005156 ;37319191 ;66630715 ;96055250 ; 0,48 ;31580117 ;32265845 ;32209288 ; 0,16 ;8;13;425;1560;1910
Zonas Secundarias;Neiva;Servicio;2021;may;107745257 ;21828857 ;49235560 ;36680840 ; 0,34 ;32679432 ;30117809 ;-26116401 ;-0,24 ;8;13;228;850;1910
Zonas Secundarias;Neiva;Servicio;2021;jun;185809169 ;36612206 ;53975880 ;95221083 ; 0,51 ;83130170 ;34187868 ;-22096955 ;-0,12 ;7;13;418;1305;1910
Zonas Secundarias;Neiva;Servicio;2021;jul;211858661 ;35674980 ;62842178 ;113341503 ; 0,53 ;-807106 ;36045738 ;78102871 ; 0,37 ;7;13;451;1631;1910
Zonas Secundarias;Neiva;Servicio;2021;ago;199795475 ;35858757 ;61574030 ;102362688 ; 0,51 ;39644380 ;37218977 ;25499331 ; 0,13 ;8;12;443;1544;1750
Zonas Secundarias;Neiva;Servicio;2021;sep;226135067 ;41773357 ;57265934 ;127095775 ; 0,56 ;43342182 ;38234698 ;45518896 ; 0,20 ;8;12;493;1638;1750
Zonas Secundarias;Neiva;Servicio;2021;oct;221908829 ;40183957 ;63323357 ;118401515 ; 0,53 ;39174468 ;37185496 ;42041550 ; 0,19 ;8;11;457;1569;1710
Zonas Secundarias;Neiva;Servicio;2021;nov;229368601 ;37316269 ;55228331 ;136824001 ; 0,60 ;35752282 ;26026824 ;75044895 ; 0,33 ;7;10;500;1694;1550
Zonas Secundarias;Neiva;Servicio;2021;dic;202264847 ;32178168 ;53225597 ;116861083 ; 0,58 ;54420283 ;36741285 ;25699515 ; 0,13 ;8;10;459;1508;1550
