Zona;Sede;Año;Mes;Ingresos;Costos;Ut_Bruta;Ut_Operativa;Empl_Operativo;Hrs_Reales;Hrs_Posibles;Nivel_rentab
Zonas Secundarias;Medellin Colision;2021;nov;627530453;331745058;295785395;-21093435;36;7279;5800;Perdida
Zonas Secundarias;Medellin Colision;2021;dic;512858902;352601984;160256918;-91766964;36;5557;5800;Perdida
Zonas Secundarias;Medellin Colision;2022;ene;607647151;314936138;292711013;-2961875;38;7028;5960;Perdida
Zonas Secundarias;Medellin Colision;2022;feb;696818218;370431537;326386681;34601400;37;7914;6040;Baja
Zonas Secundarias;Medellin Colision;2022;mar;741310088;392689541;348620547;41272920;39;8619;6200;Baja
Zonas Secundarias;Medellin Colision;2022;abr;627767148;352912961;274854187;-30825654;39;7108;6160;Perdida
Zonas Secundarias;Medellin Colision;2022;may;777969672;385914481;392055191;84874793;39;8807;6160;Baja
Zonas Secundarias;Medellin Colision;2022;jun;657681627;413935260;243746367;-71946522;40;7393;6360;Perdida
Zonas Secundarias;Medellin Colision;2022;jul;516408298;391265467;125142831;-187348657;38;5809;5840;Perdida
Zonas Secundarias;Medellin Colision;2022;ago;794522823;360003995;434518828;128262824;40;8464;6160;Baja
Zonas Secundarias;Medellin Colision;2022;sep;874671097;412913817;461757280;110312194;44;8986;6400;Baja
Zonas Secundarias;Medellin Colision;2022;oct;599916207;407629177;192287030;-72764769;44;6254;6400;Perdida
Zonas Secundarias;Medellin Colision;2022;nov;692210358;361510284;330700074;29783731;38;7243;6720;Baja
Zonas Secundarias;Medellin Colision;2022;dic;605049830;435353413;169696417;-95868341;45;5664;6600;Perdida
Zonas Secundarias;Medellin Colision;2023;ene;766894024;375634640;391259384;102819698;48;8323;7080;Baja
Zonas Secundarias;Medellin Colision;2023;feb;882632050;419619073;463012977;184417905;48;9146;7080;Baja
Zonas Secundarias;Medellin Colision;2023;mar;970400003;490983073;479416930;128556972;48;9871;6960;Baja
Zonas Secundarias;Medellin Colision;2023;abr;642717235;480143230;162574005;-133237807;48;6363;7120;Perdida
Zonas Secundarias;Medellin Colision;2023;may;907800786;450886387;456914399;115610911;50;8588;7280;Baja
Zonas Secundarias;Medellin Colision;2023;jun;876512969;477455195;399057774;29515191;50;7861;7280;Baja
Zonas Secundarias;Medellin Colision;2023;jul;813722959;411370944;402352015;77708113;48;7453;6560;Baja
Zonas Secundarias;Medellin Colision;2023;ago;750173250;462465574;287707676;-18353510;46;6950;6360;Perdida
Zonas Secundarias;Medellin Colision;2023;sep;809494721;401290749;408203972;144406442;39;7424;5440;Baja
Zonas Secundarias;Medellin Colision;2023;oct;783176662;408938089;374238573;69344654;38;7235;5280;Baja
Zonas Secundarias;Medellin Colision;2023;nov;819556656;493684039;325872617;8333919;35;7736;5080;Baja
Zonas Secundarias;Medellin Colision;2023;dic;504982618;295982570;209000048;-82416068;33;4343;4920;Perdida
Zonas Secundarias;Medellin Colision;2024;ene;826655552;517454273;309201279;-30401867;34;7697;5120;Perdida
Zonas Secundarias;Medellin Colision;2024;feb;852623402;319700351;532923051;184482011;36;8145;5480;Baja
Zonas Secundarias;Medellin Colision;2024;mar;737551428;386017630;351533798;-10150208;33;6512;5080;Perdida
Zonas Secundarias;Medellin Colision;2024;abr;887827379;499783003;388044376;103785990;34;7845;5280;Baja
Zonas Secundarias;Medellin Colision;2024;may;921295942;445622416;475673526;116512688;39;7781;5840;Baja
