Zona,Sede,Año,Mes,Ingresos,Costo_mat_prima,Costo_M.Obra,Utilidad_Bruta,Gastos_operativos,Gastos_personal,Ut_Operacional,Empl_Admon,Empl_Operativo,Ordenes,Hrs_Ejecutadas,Capac_Hrs,Mg_Bruto,Mg_Operacional
Zonas Secundarias,Ibagué TASA Taller,2022,nov,223840642,57799156,57401069,108640417,38547219,17725036,52368162,5,13,396,1455,2000,0.4853471471011953,0.2339528761716114
Zonas Secundarias,Ibagué TASA Taller,2022,dic,249737420,29096046,71443785,149197589,46771467,25484321,76941801,5,13,416,1758,1840,0.597417835901404,0.30809079792687855
Zonas Secundarias,Ibagué TASA Taller,2023,ene,273696982,44172492,72403038,157121452,47239360,30776118,79105974,6,13,455,2249,1840,0.5740708240619182,0.28902757137453566
Zonas Secundarias,Ibagué TASA Taller,2023,feb,201985187,39941542,71633200,90410445,35979869,24369298,30061278,6,14,321,1955,1840,0.4476092843382619,0.14882912181079894
Zonas Secundarias,Ibagué TASA Taller,2023,mar,288644763,54107562,108686126,125851075,59433925,24959195,41457955,4,14,445,2298,1840,0.43600678457485126,0.14362968019620712
Zonas Secundarias,Ibagué TASA Taller,2023,abr,262147967,61629600,79893846,120624521,39554657,22460001,58609863,7,14,398,1742,1840,0.46013906718567077,0.22357550077815405
Zonas Secundarias,Ibagué TASA Taller,2023,may,252238155,68413576,70996414,112828165,41795501,29474912,41557752,8,13,424,1851,1840,0.4473080807302924,0.1647560100493123
Zonas Secundarias,Ibagué TASA Taller,2023,jun,212485650,51401300,71853087,89231263,59454769,31566009,-1789515,8,13,388,1442,2000,0.41994018419596807,-0.008421815779089082
Zonas Secundarias,Ibagué TASA Taller,2023,jul,250029936,55568253,68494460,125967223,59072355,31596865,35298003,7,13,374,1795,2000,0.5038085639473187,0.14117510712797207
Zonas Secundarias,Ibagué TASA Taller,2023,ago,292494778,63867312,86857747,141769719,78957229,33545292,29267198,8,14,424,2400,2000,0.48469145319237117,0.10006058296192898
Zonas Secundarias,Ibagué TASA Taller,2023,sep,268641029,69449418,59243096,139948515,45652749,20571862,73723904,9,12,363,1754,1840,0.5209498918350257,0.27443277847182457
Zonas Secundarias,Ibagué TASA Taller,2023,oct,271907942,57036722,88661271,126209949,77912122,44115351,4182476,8,14,383,2249,2000,0.4641642611527691,0.015381956000387808
Zonas Secundarias,Ibagué TASA Taller,2023,nov,221324386,65654683,81797307,73872396,68051625,33203624,-27382853,8,15,367,1407,2000,0.33377431802747665,-0.12372271079066724
Zonas Secundarias,Ibagué TASA Taller,2023,dic,254965455,53820036,76407277,124738142,54514767,36771153,33452222,7,14,423,1703,1840,0.48923546132945733,0.1312029584556857
